Gasday,MarginalPriceSystemBuy,MarginalPriceSystemSell,NegativeEnergyImbalancePrice,PositiveEnergyImbalancePrice,Unit,VTPDailyAveragePrice,VTPDailyAveragePriceSmallAdjMinus,VTPDailyAveragePriceSmallAdjPlus
2021-10-01,96.0000,57.1250,96.0000,57.1250,EUR/MWh,90.4030,88.594940,92.211060
2021-10-02,,55.0000,90.9920,55.0000,EUR/MWh,89.2080,87.423840,90.992160
2021-10-03,,63.6750,90.1350,63.6750,EUR/MWh,88.3680,86.600640,90.135360
2021-10-04,92.0000,77.0250,92.5690,77.0250,EUR/MWh,90.7540,88.938920,92.569080
2021-10-05,106.0000,85.0000,106.0000,85.0000,EUR/MWh,93.3790,91.511420,95.246580
2021-10-06,137.0000,,137.0000,109.4850,EUR/MWh,111.7190,109.484620,113.953380
2021-10-07,117.0000,,117.0000,111.4580,EUR/MWh,113.7330,111.458340,116.007660
2021-10-08,106.2013,,106.2010,93.9250,EUR/MWh,95.8420,93.925160,97.758840
2021-10-09,86.7263,,89.5340,86.0220,EUR/MWh,87.7780,86.022440,89.533560
2021-10-10,89.5000,84.5000,89.9640,84.5000,EUR/MWh,88.2000,86.436000,89.964000
2021-10-11,87.1000,,91.0520,87.4820,EUR/MWh,89.2670,87.481660,91.052340
2021-10-12,,82.5000,88.3510,82.5000,EUR/MWh,86.6190,84.886620,88.351380
2021-10-13,92.7000,,92.7000,84.8900,EUR/MWh,86.6220,84.889560,88.354440
2021-10-14,100.9000,,100.9000,89.9040,EUR/MWh,91.7390,89.904220,93.573780
2021-10-15,101.0000,,101.0000,96.4440,EUR/MWh,98.4120,96.443760,100.380240
2021-10-16,89.2000,,96.0100,92.2440,EUR/MWh,94.1270,92.244460,96.009540
2021-10-17,91.5000,,95.9480,92.1860,EUR/MWh,94.0670,92.185660,95.948340
2021-10-18,89.9250,,96.0970,92.3290,EUR/MWh,94.2130,92.328740,96.097260
2021-10-19,90.0000,85.6500,95.0550,85.6500,EUR/MWh,93.1910,91.327180,95.054820
2021-10-20,87.8000,87.0000,90.0380,86.5080,EUR/MWh,88.2730,86.507540,90.038460
2021-10-21,91.7250,,92.0910,88.4790,EUR/MWh,90.2850,88.479300,92.090700
2021-10-22,94.0000,86.3000,94.0000,86.3000,EUR/MWh,88.5490,86.778020,90.319980
2021-10-23,99.6750,89.0500,99.6750,86.7380,EUR/MWh,88.5080,86.737840,90.278160
2021-10-24,91.7000,87.5250,91.7000,86.2510,EUR/MWh,88.0110,86.250780,89.771220
2021-10-25,96.0000,85.6000,96.0000,85.6000,EUR/MWh,88.9950,87.215100,90.774900
2021-10-26,90.0000,86.5000,91.9170,86.5000,EUR/MWh,90.1150,88.312700,91.917300
2021-10-27,93.3000,84.6250,93.3000,84.6250,EUR/MWh,88.2580,86.492840,90.023160
2021-10-28,85.5000,77.2000,86.8480,77.2000,EUR/MWh,85.1450,83.442100,86.847900
2021-10-29,77.9000,,78.6500,75.5660,EUR/MWh,77.1080,75.565840,78.650160
2021-10-30,67.5000,,67.5250,64.8770,EUR/MWh,66.2010,64.876980,67.525020
2021-10-31,67.3000,64.1000,67.3000,64.1000,EUR/MWh,65.9170,64.598660,67.235340
