Timestamp,FlexibilityChargePreliminary,FlexibilityCostsPreliminary,FlexibilityQuantityPreliminary,PricesFlexibilityChargeIntraday,UnitFlexibilityChargePreliminary,UnitFlexibilityCostsPreliminary,UnitFlexibilityQuantityPreliminary,schema
,,,,,,,,
2025-11-13T06:00:00,0.0000,0.0000,0.000,,EUR/MWh,EUR,MWh,
2025-11-13T07:00:00,0.0000,0.0000,0.000,,EUR/MWh,EUR,MWh,
2025-11-13T08:00:00,0.0000,0.0000,0.000,,EUR/MWh,EUR,MWh,
2025-11-13T09:00:00,0.0000,0.0000,0.000,,EUR/MWh,EUR,MWh,
2025-11-13T10:00:00,0.0000,0.0000,0.000,,EUR/MWh,EUR,MWh,
2025-11-13T11:00:00,0.0000,0.0000,0.000,,EUR/MWh,EUR,MWh,
2025-11-13T12:00:00,0.0000,0.0000,0.000,,EUR/MWh,EUR,MWh,
2025-11-13T13:00:00,0.0000,0.0000,0.000,,EUR/MWh,EUR,MWh,
2025-11-13T14:00:00,0.0000,0.0000,0.000,,EUR/MWh,EUR,MWh,
2025-11-13T15:00:00,0.0000,0.0000,0.000,,EUR/MWh,EUR,MWh,
2025-11-13T16:00:00,0.0000,0.0000,0.000,,EUR/MWh,EUR,MWh,
2025-11-13T17:00:00,0.0000,0.0000,0.000,,EUR/MWh,EUR,MWh,
2025-11-13T18:00:00,0.0000,0.0000,0.000,,EUR/MWh,EUR,MWh,
2025-11-13T19:00:00,0.0000,0.0000,0.000,,EUR/MWh,EUR,MWh,
